UUID,Titre,Publié,Promu en page d'accueil,Traduction,Exporter vers les extensions,Contexte(s),Language,Statut,Lien vers traduction l.d.o,Date de publication,Date de mise à jour
localize_glossary_translation_924_fr,placeholder token,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=placeholder%20token,1554209301,1554212833
localize_glossary_translation_923_fr,munge,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=munge,1552407233,1552407233
localize_glossary_translation_922_fr,Paragraph bundle,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Paragraph%20bundle,1550569294,1550569294
localize_glossary_translation_921_fr,strips,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=strips,1550417126,1550417126
localize_glossary_translation_920_fr,boost,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=boost,1550416488,1550416488
localize_glossary_translation_919_fr,custom module,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=custom%20module,1550408787,1550408787
localize_glossary_translation_918_fr,skip,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=skip,1550402781,1550402781
localize_glossary_translation_917_fr,fulltext,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=fulltext,1550402341,1550402341
localize_glossary_translation_916_fr,Downgrade,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Downgrade,1550400852,1550400852
localize_glossary_translation_915_fr,sucessfully,1,0,avec succès,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=sucessfully,1550399749,1551699714
localize_glossary_translation_914_fr,Stemmer,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Stemmer,1550399511,1550399511
localize_glossary_translation_913_fr,Content Staging,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Content%20Staging,1550399002,1550399002
localize_glossary_translation_912_fr,nested,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=nested,1550396092,1550396092
localize_glossary_translation_911_fr,disallow,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=disallow,1550394598,1550394598
localize_glossary_translation_910_fr,checklist,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=checklist,1550394255,1550394255
localize_glossary_translation_909_fr,Rewrite Results,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Rewrite%20Results,1550393956,1550393956
localize_glossary_translation_908_fr,You may,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=You%20may,1550393674,1550393674
localize_glossary_translation_907_fr,Tips,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Tips,1541760227,1541760227
localize_glossary_translation_906_fr,Outsider,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Outsider,1539614777,1539614777
localize_glossary_translation_905_fr,third-party,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=third-party,1539441926,1539441926
localize_glossary_translation_904_fr,requirement,1,0,pré-requis,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=requirement,1539440656,1550328887
localize_glossary_translation_903_fr,workspace,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=workspace,1536588212,1536588212
localize_glossary_translation_902_fr,hint,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=hint,1531214160,1531214160
localize_glossary_translation_901_fr,cookie,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=cookie,1525388919,1525388919
localize_glossary_translation_900_fr,tracker,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=tracker,1525162224,1525162224
localize_glossary_translation_899_fr,layer,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=layer,1525159487,1525159487
localize_glossary_translation_898_fr,boolean,1,0,bouléen,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=boolean,1525081532,1551699752
localize_glossary_translation_897_fr,popover,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=popover,1525081153,1525081153
localize_glossary_translation_896_fr,colon,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=colon,1524925743,1524925743
localize_glossary_translation_895_fr,staging,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=staging,1523973672,1523973672
localize_glossary_translation_894_fr,repositories,1,0,dépôts,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=repositories,1523965763,1551699855
localize_glossary_translation_893_fr,crib,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=crib,1523882234,1523882234
localize_glossary_translation_892_fr,altering,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=altering,1523872922,1523872922
localize_glossary_translation_891_fr,Strip out,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Strip%20out,1523871548,1523871548
localize_glossary_translation_890_fr,Bundle assignment,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Bundle%20assignment,1523870739,1523870739
localize_glossary_translation_889_fr,assignment,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=assignment,1523868982,1523868982
localize_glossary_translation_888_fr,Dropzone,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Dropzone,1509294209,1509294209
localize_glossary_translation_887_fr,home,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=home,1509272061,1509272061
localize_glossary_translation_886_fr,array,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=array,1482845352,1482845352
localize_glossary_translation_882_fr,custom block library,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=custom%20block%20library,1465835149,1465835149
localize_glossary_translation_881_fr,more link,1,0,"lien ""plus""",1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=more%20link,1465724434,1465724465
localize_glossary_translation_880_fr,event,1,0,évènement,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=event,1465724316,1465724599
localize_glossary_translation_878_fr,in-place,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=in-place,1453743733,1453743803
localize_glossary_translation_877_fr,signup,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=signup,1449677344,1449677344
localize_glossary_translation_876_fr,Language neutral,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Language%20neutral,1447428899,1447428899
localize_glossary_translation_875_fr,entity reference,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=entity%20reference,1447162478,1447162478
localize_glossary_translation_874_fr,derivative,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=derivative,1447106722,1447106722
localize_glossary_translation_873_fr,cache tag,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=cache%20tag,1447105595,1447105595
localize_glossary_translation_872_fr,installer,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=installer,1447079977,1447079977
localize_glossary_translation_871_fr,raw,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=raw,1447061078,1447061078
localize_glossary_translation_870_fr,view modes,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=view%20modes,1446910602,1446910602
localize_glossary_translation_869_fr,form modes,1,0,modes de saisie,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=form%20modes,1446910595,1446913515
localize_glossary_translation_868_fr,display modes,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=display%20modes,1446910553,1446910553
localize_glossary_translation_867_fr,Outline (book),1,0,Structure de livre,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=Outline%20%28book%29,1446910141,1446913701
localize_glossary_translation_866_fr,translatable,1,0,traduisible,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=translatable,1446909962,1446913620
localize_glossary_translation_865_fr,logged in,1,0,connecté,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=logged%20in,1446909296,1446913790
localize_glossary_translation_864_fr,tray,1,0,tiroir,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=tray,1446907908,1446914806
localize_glossary_translation_862_fr,Replacement patterns,1,0,Motifs de substitution,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=Replacement%20patterns,1446900385,1446914954
localize_glossary_translation_861_fr,further instructions,1,0,instructions complémentaires,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=further%20instructions,1446896590,1446898784
localize_glossary_translation_860_fr,form mode,1,0,mode de saisie,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=form%20mode,1446896201,1446915015
localize_glossary_translation_859_fr,display mode,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=display%20mode,1446895800,1446895800
localize_glossary_translation_858_fr,extend,1,0,extension / étendre,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=extend,1446895552,1446917210
localize_glossary_translation_857_fr,rearrange,1,0,réordonner,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=rearrange,1446895274,1446896296
localize_glossary_translation_856_fr,tour,1,0,visite guidée,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=tour,1446893746,1446917191
localize_glossary_translation_855_fr,drop-down button,1,0,bouton déroulant,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=drop-down%20button,1446892682,1446917187
localize_glossary_translation_854_fr,VID,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=VID,1446891271,1446891271
localize_glossary_translation_853_fr,Backend,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Backend,1443033119,1443033119
localize_glossary_translation_852_fr,shortcut,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=shortcut,1441379615,1441379615
localize_glossary_translation_851_fr,packaging,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=packaging,1439067435,1439067435
localize_glossary_translation_850_fr,safely,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=safely,1434103033,1434103033
localize_glossary_translation_849_fr,legacy,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=legacy,1434099313,1434099313
localize_glossary_translation_848_fr,sort criteria,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=sort%20criteria,1425909076,1482588175
localize_glossary_translation_847_fr,Are you sure,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Are%20you%20sure,1424014824,1424014824
localize_glossary_translation_846_fr,unchangeable,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=unchangeable,1423923978,1423923978
localize_glossary_translation_845_fr,changeable,1,0,modifiable,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=changeable,1423923323,1446917183
localize_glossary_translation_844_fr,highlight,1,0,mettre en évidence,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=highlight,1418049263,1446913953
localize_glossary_translation_843_fr,article,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=article,1389641802,1389641802
