UUID,Type,Value,Created,Language
localize_statistics-1,contributors,255,1309478401,localize_glossary_languages_fr
localize_statistics-2,to_translate,284473,1309478401,localize_glossary_languages_fr
localize_statistics-3,translations,38155,1309478401,localize_glossary_languages_fr
localize_statistics-4,suggestions,12162,1309478401,localize_glossary_languages_fr
localize_statistics-5,contributors,255,1309568401,localize_glossary_languages_fr
localize_statistics-6,to_translate,284473,1309568401,localize_glossary_languages_fr
localize_statistics-7,translations,38155,1309568401,localize_glossary_languages_fr
localize_statistics-8,suggestions,12162,1309568401,localize_glossary_languages_fr
localize_statistics-9,contributors,255,1309658401,localize_glossary_languages_fr
localize_statistics-10,to_translate,284473,1309658401,localize_glossary_languages_fr
localize_statistics-11,translations,38155,1309658401,localize_glossary_languages_fr
localize_statistics-12,suggestions,12162,1309658401,localize_glossary_languages_fr
localize_statistics-13,contributors,256,1309748401,localize_glossary_languages_fr
localize_statistics-14,to_translate,284542,1309748401,localize_glossary_languages_fr
localize_statistics-15,translations,38474,1309748401,localize_glossary_languages_fr
localize_statistics-16,suggestions,11872,1309748401,localize_glossary_languages_fr
localize_statistics-17,contributors,256,1309838401,localize_glossary_languages_fr
localize_statistics-18,to_translate,284542,1309838401,localize_glossary_languages_fr
localize_statistics-19,translations,38474,1309838401,localize_glossary_languages_fr
localize_statistics-20,suggestions,11872,1309838401,localize_glossary_languages_fr
localize_statistics-21,contributors,256,1309928401,localize_glossary_languages_fr
localize_statistics-22,to_translate,284542,1309928401,localize_glossary_languages_fr
localize_statistics-23,translations,38474,1309928401,localize_glossary_languages_fr
localize_statistics-24,suggestions,11872,1309928401,localize_glossary_languages_fr
localize_statistics-25,contributors,256,1310018401,localize_glossary_languages_fr
localize_statistics-26,to_translate,284542,1310018401,localize_glossary_languages_fr
localize_statistics-27,translations,38490,1310018401,localize_glossary_languages_fr
localize_statistics-28,suggestions,11934,1310018401,localize_glossary_languages_fr
localize_statistics-29,contributors,257,1310108402,localize_glossary_languages_fr
localize_statistics-30,to_translate,284783,1310108402,localize_glossary_languages_fr
localize_statistics-31,translations,38657,1310108402,localize_glossary_languages_fr
localize_statistics-32,suggestions,11770,1310108402,localize_glossary_languages_fr
localize_statistics-33,contributors,257,1310198401,localize_glossary_languages_fr
localize_statistics-34,to_translate,284783,1310198401,localize_glossary_languages_fr
localize_statistics-35,translations,38657,1310198401,localize_glossary_languages_fr
localize_statistics-36,suggestions,11770,1310198401,localize_glossary_languages_fr
localize_statistics-37,contributors,258,1310288401,localize_glossary_languages_fr
localize_statistics-38,to_translate,284935,1310288401,localize_glossary_languages_fr
localize_statistics-39,translations,38659,1310288401,localize_glossary_languages_fr
localize_statistics-40,suggestions,11631,1310288401,localize_glossary_languages_fr
localize_statistics-41,contributors,258,1310374803,localize_glossary_languages_fr
localize_statistics-42,to_translate,284935,1310374803,localize_glossary_languages_fr
localize_statistics-43,translations,38659,1310374803,localize_glossary_languages_fr
localize_statistics-44,suggestions,11631,1310374803,localize_glossary_languages_fr
localize_statistics-45,contributors,260,1310464802,localize_glossary_languages_fr
localize_statistics-46,to_translate,291121,1310464802,localize_glossary_languages_fr
