PID,Media,Field text value,Field text format,CTAs URI,CTAs title,CTAs target,CTAs rel,CTAs class,Media width class,Media position,Title level,Title,Sub title,Paragraph CSS Class,Background color
homepage_1,image_homepage_1,"<p>Le CMS professionnel le plus répandu au monde en Français. Open Source et libre d'utilisation, facile à appréhender, découvrez une alternative puissante.</p>",full_html,internal:/decouvrir/telechargements/;internal:/,Télécharger;Démo,;,;,button secondary;button inverted hollow,6,0,h1,Drupal 8,"FLEXIBLE, SIMPLE, PUISSANT",head_homepage,#064771
homepage_4,image_homepage_documentation,"<p>Vous avez plusieurs manières de consulter la documentation officielle de Drupal en Français :</p><ol><li>directement sur le site de la communauté Drupal monde,</li><li>en téléchargeant la documentation au format PDF ou ebook.</li></ol><p>Pour plus d'informations, vous pouvez consulter la page dédiée à la documentation sur notre site.</p>",full_html,https://www.drupal.org/fr/docs/user_guide/fr/index.html;http://cgit.drupalcode.org/user_guide/tree/ebooks;entity:node:page_documentation,Version en ligne;Version PDF;Plus d'informations,;;,;;,button secondary;button secondary;button hollow,4,0,h2,Documentation Drupal en Français,Accéder à la documentation officielle traduite en Français,,#eeeeee
decouvrir_1,image_decouvrir_1,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.</p>",full_html,internal:/;internal:/,Télécharger;Démo,;,;,button secondary large;button inverted hollow large,6,0,h1,Découvrir Drupal,Dites bonjour au CMS le plus extensible au monde !,head_discover,#0678be
decouvrir_2,image_decouvrir_2,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.</p>",full_html,,,,,,6,0,h2,Gérez vos contenus,"Articles, actus, blog post et tout ce que vous pourrez inventer",,
decouvrir_3,image_decouvrir_3,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.</p>",full_html,,,,,,6,1,h2,Contribuez en toute liberté,"Lorem ipsum dolor sit amet, consetetur sadipscing elitr",,
decouvrir_4,image_decouvrir_4,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.</p>",full_html,,,,,,6,0,h2,Organisez les informations,"Lorem ipsum dolor sit amet, consetetur sadipscing elitr",,
decouvrir_5,image_decouvrir_5,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.</p>",full_html,,,,,,6,1,h2,Gérer les droits de vos utilisateurs,"Lorem ipsum dolor sit amet, consetetur sadipscing elitr",,
decouvrir_6,image_decouvrir_6,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.</p>",full_html,,,,,,6,0,h2,Étendez les fonctionnalités,"Lorem ipsum dolor sit amet, consetetur sadipscing elitr",,
decouvrir_7,image_decouvrir_7,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.</p>",full_html,,,,,,6,1,h2,Modifiez directement en ligne,"Lorem ipsum dolor sit amet, consetetur sadipscing elitr",,
release_1,,,,,,,,,0,0,h1,Téléchargements,Lorem ipsum dolor sit,,
