"UUID","Title","Body","Body format"
"block_footer_who_are_we","Footer : Qui sommes nous ?","<p>L'association Drupal France a pour vocation la promotion de Drupal dans les pays francophones, la mise à jour de la documentation et la traduction.</p>","full_html"
"block_footer_login","Footer : Connexion","<a href=""/user/login"" class=""btn btn-lg btn-footer""><i class=""fa fa-lock"" aria-hidden=""true""></i> Connexion</a>","full_full_html"
"block_footer_contact","Footer : Contact","<p><a class=""footer-contact-link btn btn-lg btn-footer"" href=""/contact""><i class=""fa fa-envelope"" aria-hidden=""true""></i> Contact</a></p>","full_html"
"block_header_news_listing","Header : page actualités","<h1>Les actus de l'asso</h1>
<p>En direct</p>","full_html"
"block_sidebar_contact","Sidebar : nous contacter","<h2>Vous souhaitez faire passer une annonce par l'asso ?</h2>
<p>Demandez à la communauté</p>
<a href=""/contact"" class=""btn btn-primary"">Contactez nous</a>","full_full_html"
"block_header_release_listing","Header : page téléchargements","<h1>Téléchargements</h1>
<p>Lorem ipsum dolor sit</p>","full_full_html"
"block_sidebar_release_help","Sidebar : besoin aide","<h2>Besoin d'aide ?</h2><p>Demandez à la communauté</p><a class=""btn btn-lg btn-info"" href=""/"">Documentation</a>","full_full_html"
"block_sidebar_release_docker","Sidebar : Docker","<h2>Les releases packagées</h2><p>Envie d'une installation packagée ?</p><a class=""btn btn-lg btn-info""  href=""https://store.docker.com/images/drupal"">Visiter l'image officielle Docker</a>","full_full_html"
"block_sidebar_release_github","Sidebar : Github","<h2>Le projet Github</h2><p>Explorer le code du site Drupal France</p><a class=""btn btn-lg btn-info""  href=""https://github.com/Drupal-FR/site-drupalfr"">Voir sur Github</a>","full_full_html"
"block_header_contribute","Header : page contribuer","<h1>Envie de participer à l'aventure ?</h1><h2>Vous avez bien raison mon bon monsieur (Ma bonne dame) !</h2><p>Contribuer, c'est changer votre regard sur les choses. C'est passer de ""il est bien ce module"" à ""comment puis-je le rendre meilleur ?"".</p>","full_full_html"
"block_sidebar_question","Sidebar : poser une question","<h2>Poser une question</h2>
<p>à la communauté</p>
<a href=""/contact"" class=""btn btn-primary"">Je pose ma question</a>","full_full_html"
"block_header_search","Header : page recherche","<h1>Recherche</h1>","full_html"
