"Régions_NCCENR";"Départements_NCCENR"
"Alsace";"Bas-Rhin"
"Alsace";"Haut-Rhin"
"Aquitaine";"Dordogne"
"Aquitaine";"Gironde"
"Aquitaine";"Landes"
"Aquitaine";"Lot-et-Garonne"
"Aquitaine";"Pyrénées-Atlantiques"
"Auvergne";"Allier"
"Auvergne";"Cantal"
"Auvergne";"Haute-Loire"
"Auvergne";"Puy-de-Dôme"
"Basse-Normandie";"Calvados"
"Basse-Normandie";"Manche"
"Basse-Normandie";"Orne"
"Bourgogne";"Côte-d'Or"
"Bourgogne";"Nièvre"
"Bourgogne";"Saône-et-Loire"
"Bourgogne";"Yonne"
"Bretagne";"Côtes-d'Armor"
"Bretagne";"Finistère"
"Bretagne";"Ille-et-Vilaine"
"Bretagne";"Morbihan"
"Centre";"Cher"
"Centre";"Eure-et-Loir"
"Centre";"Indre"
"Centre";"Indre-et-Loire"
"Centre";"Loiret"
"Centre";"Loir-et-Cher"
"Champagne-Ardenne";"Ardennes"
"Champagne-Ardenne";"Aube"
"Champagne-Ardenne";"Haute-Marne"
"Champagne-Ardenne";"Marne"
"Corse";"Corse-du-Sud"
"Corse";"Haute-Corse"
"Franche-Comté";"Doubs"
"Franche-Comté";"Haute-Saône"
"Franche-Comté";"Jura"
"Franche-Comté";"Territoire de Belfort"
"Guadeloupe";"Guadeloupe"
"Guyane";"Guyane"
"Haute-Normandie";"Eure"
"Haute-Normandie";"Seine-Maritime"
"Île-de-France";"Essonne"
"Île-de-France";"Hauts-de-Seine"
"Île-de-France";"Paris"
"Île-de-France";"Seine-et-Marne"
"Île-de-France";"Seine-Saint-Denis"
"Île-de-France";"Val-de-Marne"
"Île-de-France";"Val-d'Oise"
"Île-de-France";"Yvelines"
"La Réunion";"La Réunion"
"Languedoc-Roussillon";"Aude"
"Languedoc-Roussillon";"Gard"
"Languedoc-Roussillon";"Hérault"
"Languedoc-Roussillon";"Lozère"
"Languedoc-Roussillon";"Pyrénées-Orientales"
"Limousin";"Corrèze"
"Limousin";"Creuse"
"Limousin";"Haute-Vienne"
"Lorraine";"Meurthe-et-Moselle"
"Lorraine";"Meuse"
"Lorraine";"Moselle"
"Lorraine";"Vosges"
"Martinique";"Martinique"
"Midi-Pyrénées";"Ariège"
"Midi-Pyrénées";"Aveyron"
"Midi-Pyrénées";"Gers"
"Midi-Pyrénées";"Haute-Garonne"
"Midi-Pyrénées";"Hautes-Pyrénées"
"Midi-Pyrénées";"Lot"
"Midi-Pyrénées";"Tarn"
"Midi-Pyrénées";"Tarn-et-Garonne"
"Nord-Pas-de-Calais";"Nord"
"Nord-Pas-de-Calais";"Pas-de-Calais"
"Pays de la Loire";"Loire-Atlantique"
"Pays de la Loire";"Maine-et-Loire"
"Pays de la Loire";"Mayenne"
"Pays de la Loire";"Sarthe"
"Pays de la Loire";"Vendée"
"Picardie";"Aisne"
"Picardie";"Oise"
"Picardie";"Somme"
"Poitou-Charentes";"Charente"
"Poitou-Charentes";"Charente-Maritime"
"Poitou-Charentes";"Deux-Sèvres"
"Poitou-Charentes";"Vienne"
"Provence-Alpes-Côte d'Azur";"Alpes-de-Haute-Provence"
"Provence-Alpes-Côte d'Azur";"Alpes-Maritimes"
"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône"
"Provence-Alpes-Côte d'Azur";"Hautes-Alpes"
"Provence-Alpes-Côte d'Azur";"Var"
"Provence-Alpes-Côte d'Azur";"Vaucluse"
"Rhône-Alpes";"Ain"
"Rhône-Alpes";"Ardèche"
"Rhône-Alpes";"Drôme"
"Rhône-Alpes";"Haute-Savoie"
"Rhône-Alpes";"Isère"
"Rhône-Alpes";"Loire"
"Rhône-Alpes";"Rhône"
"Rhône-Alpes";"Savoie"
